device_id,operating_system,os_version,device_category
DEV000854,Android,13,Budget
DEV000855,Android,12,Mid-range
DEV000856,Android,12,Mid-range
DEV000857,Android,12,Mid-range
DEV000858,Android,12,Mid-range
DEV000859,iOS,17.2,Mid-range
DEV000860,Android,14,Mid-range
DEV000861,Android,13,Budget
DEV000862,Android,12,Premium
DEV000863,Android,14,Mid-range
DEV000864,Android,13,Mid-range
DEV000865,Android,13,Budget
DEV000866,Android,13,Mid-range
DEV000867,Android,14,Budget
DEV000868,Android,13,Budget
DEV000869,iOS,16.5,Budget
DEV000870,Android,11,Budget
DEV000871,Android,11,Mid-range
DEV000872,Android,12,Mid-range
DEV000873,iOS,16.5,Premium
DEV000874,Android,13,Budget
DEV000875,Android,11,Budget
DEV000876,Android,12,Mid-range
DEV000877,Android,12,Budget
DEV000878,Android,11,Premium
DEV000879,Android,12,Budget
DEV000880,Android,14,Mid-range
DEV000881,Android,13,Mid-range
DEV000882,Android,13,Budget
DEV000883,Android,11,Mid-range
DEV000884,Android,11,Premium
DEV000885,Android,12,Budget
DEV000886,Android,11,Mid-range
DEV000887,Android,12,Budget
DEV000888,iOS,16.5,Mid-range
DEV000889,Android,12,Budget
DEV000890,Android,13,Budget
DEV000891,iOS,17.2,Mid-range
DEV000892,iOS,17.2,Mid-range
DEV000893,Android,12,Budget
DEV000894,Android,13,Budget
DEV000895,Android,12,Budget
DEV000896,Android,12,Budget
DEV000897,Android,12,Premium
DEV000898,Android,13,Budget
DEV000899,Android,13,Mid-range
DEV000900,Android,11,Mid-range
DEV000901,Android,12,Mid-range
DEV000902,Android,11,Mid-range
DEV000903,Android,13,Budget
DEV000904,Android,14,Budget
DEV000905,Android,13,Premium
DEV000906,Android,12,Premium
DEV000907,iOS,16.5,Mid-range
DEV000908,Android,11,Premium
DEV000909,Android,12,Mid-range
DEV000910,iOS,16.5,Budget
DEV000911,Android,13,Mid-range
DEV000912,Android,13,Premium
DEV000913,iOS,16.5,Budget
DEV000914,iOS,16.5,Budget
DEV000915,iOS,16.5,Premium
DEV000916,Android,12,Mid-range
DEV000917,iOS,16.5,Premium
DEV000918,iOS,16.5,Premium
DEV000919,Android,11,Mid-range
DEV000920,Android,11,Premium
DEV000921,Android,12,Premium
DEV000922,Android,12,Mid-range
DEV000923,iOS,16.5,Premium
DEV000924,Android,12,Budget
DEV000925,Android,11,Budget
DEV000926,Android,12,Budget
DEV000927,Android,11,Mid-range
DEV000928,Android,14,Mid-range
DEV000929,Android,14,Budget
DEV000930,iOS,16.5,Premium
DEV000931,Android,14,Mid-range
DEV000932,Android,11,Mid-range
DEV000933,Android,11,Budget
DEV000934,Android,12,Budget
DEV000935,Android,12,Budget
DEV000936,Android,14,Premium
DEV000937,Android,12,Mid-range
DEV000938,Android,11,Mid-range
DEV000939,Android,13,Budget
DEV000940,Android,11,Budget
DEV000941,Android,12,Mid-range
DEV000942,iOS,16.5,Mid-range
DEV000943,Android,12,Budget
DEV000944,iOS,16.5,Budget
DEV000945,Android,13,Budget
DEV000946,Android,11,Budget
DEV000947,Android,13,Mid-range
DEV000948,Android,12,Mid-range
DEV000949,Android,12,Mid-range
DEV000950,Android,13,Budget
DEV000951,Android,11,Mid-range
DEV000952,iOS,16.5,Budget
DEV000953,Android,12,Mid-range
DEV000954,Android,11,Mid-range
DEV000955,Android,11,Mid-range
DEV000956,Android,12,Mid-range
DEV000957,Android,11,Budget
DEV000958,Android,12,Budget
DEV000959,Android,11,Mid-range
DEV000960,Android,11,Mid-range
DEV000961,Android,14,Mid-range
DEV000962,Android,12,Mid-range
DEV000963,Android,11,Mid-range
DEV000964,Android,14,Mid-range
DEV000965,Android,12,Mid-range
DEV000966,Android,13,Mid-range
DEV000967,Android,11,Budget
DEV000968,Android,11,Premium
DEV000969,iOS,16.5,Budget
DEV000970,iOS,16.5,Budget
DEV000971,Android,12,Mid-range
DEV000972,Android,14,Premium
DEV000973,Android,13,Mid-range
DEV000974,iOS,17.2,Budget
DEV000975,iOS,16.5,Premium
DEV000976,Android,12,Mid-range
DEV000977,Android,13,Mid-range
DEV000978,Android,13,Budget
DEV000979,Android,11,Mid-range
DEV000980,Android,12,Mid-range
DEV000981,Android,11,Budget
DEV000982,Android,11,Budget
DEV000983,Android,13,Mid-range
DEV000984,Android,12,Mid-range
DEV000985,Android,11,Budget
DEV000986,Android,12,Premium
DEV000987,Android,13,Budget
DEV000988,Android,14,Mid-range
DEV000989,Android,14,Premium
DEV000990,Android,11,Budget
DEV000991,Android,11,Budget
DEV000992,Android,13,Mid-range
DEV000993,Android,11,Mid-range
DEV000994,Android,12,Budget
DEV000995,Android,11,Premium
DEV000996,Android,11,Mid-range
DEV000997,Android,12,Mid-range
DEV000998,Android,13,Budget
DEV000999,Android,13,Mid-range
DEV001000,Android,12,Budget
DEV001001,Android,11,Mid-range
DEV001002,Android,11,Budget
DEV001003,Android,11,Premium
DEV001004,iOS,16.5,Premium
DEV001005,Android,13,Mid-range
DEV001006,Android,12,Premium
DEV001007,iOS,16.5,Mid-range
DEV001008,Android,14,Budget
DEV001009,Android,12,Budget
DEV001010,Android,12,Mid-range
DEV001011,Android,12,Mid-range
DEV001012,Android,12,Mid-range
DEV001013,Android,14,Premium
DEV001014,Android,13,Premium
DEV001015,Android,13,Budget
DEV001016,Android,11,Budget
DEV001017,Android,13,Premium
DEV001018,Android,14,Budget
DEV001019,Android,13,Budget
DEV001020,Android,12,Mid-range
DEV001021,Android,13,Premium
DEV001022,Android,11,Mid-range
DEV001023,Android,13,Mid-range
DEV001024,Android,12,Premium
DEV001025,Android,12,Premium
DEV001026,Android,11,Premium
DEV001027,iOS,17.2,Budget
DEV001028,iOS,17.2,Mid-range
DEV001029,Android,11,Mid-range
DEV001030,Android,11,Premium
DEV001031,Android,13,Mid-range
DEV001032,Android,12,Mid-range
DEV001033,Android,12,Budget
DEV001034,Android,12,Mid-range
DEV001035,Android,11,Premium
DEV001036,Android,12,Mid-range
DEV001037,iOS,16.5,Budget
DEV001038,Android,12,Mid-range
DEV001039,Android,11,Budget
DEV001040,Android,12,Premium
DEV001041,Android,13,Mid-range
DEV001042,Android,11,Budget
DEV001043,Android,12,Mid-range
DEV001044,Android,12,Mid-range
DEV001045,Android,13,Budget
DEV001046,Android,14,Premium
DEV001047,Android,13,Mid-range
DEV001048,Android,11,Mid-range
DEV001049,Android,11,Mid-range
DEV001050,Android,12,Premium
DEV001051,Android,12,Mid-range
DEV001052,Android,11,Budget
DEV001053,Android,14,Premium
DEV001054,Android,13,Mid-range
DEV001055,Android,12,Mid-range
DEV001056,Android,11,Mid-range
DEV001057,Android,11,Mid-range
DEV001058,Android,12,Mid-range
DEV001059,Android,13,Mid-range
DEV001060,Android,12,Mid-range
DEV001061,Android,11,Mid-range
DEV001062,Android,11,Mid-range
DEV001063,Android,12,Premium
DEV001064,Android,11,Mid-range
DEV001065,Android,13,Mid-range
DEV001066,iOS,16.5,Budget
DEV001067,Android,11,Budget
DEV001068,Android,11,Mid-range
DEV001069,Android,14,Budget
DEV001070,Android,12,Budget
DEV001071,Android,12,Mid-range
DEV001072,iOS,17.2,Budget
DEV001073,Android,13,Mid-range
DEV001074,Android,13,Premium
DEV001075,Android,14,Budget
DEV001076,Android,12,Mid-range
DEV001077,Android,11,Budget
DEV001078,Android,11,Mid-range
DEV001079,Android,12,Mid-range
DEV001080,Android,13,Premium
DEV001081,Android,11,Mid-range
DEV001082,Android,11,Budget
DEV001083,iOS,16.5,Premium
DEV001084,Android,12,Budget
DEV001085,Android,11,Premium
DEV001086,iOS,16.5,Mid-range
DEV001087,Android,11,Premium
DEV001088,Android,12,Premium
DEV001089,Android,13,Mid-range
DEV001090,Android,13,Budget
DEV001091,Android,11,Budget
DEV001092,Android,11,Mid-range
DEV001093,Android,12,Premium
DEV001094,Android,12,Mid-range
DEV001095,Android,11,Premium
DEV001096,Android,13,Mid-range
DEV001097,iOS,17.2,Budget
DEV001098,Android,12,Mid-range
DEV001099,Android,12,Mid-range
DEV001100,iOS,17.2,Budget
DEV001101,Android,14,Budget
DEV001102,Android,12,Premium
DEV001103,Android,12,Budget
DEV001104,iOS,16.5,Mid-range
DEV001105,Android,13,Mid-range
DEV001106,Android,11,Mid-range
DEV001107,Android,14,Mid-range
DEV001108,Android,11,Budget
DEV001109,Android,13,Mid-range
DEV001110,Android,13,Budget
DEV001111,Android,11,Budget
DEV001112,Android,12,Budget
DEV001113,Android,12,Budget
DEV001114,Android,11,Mid-range
DEV001115,Android,13,Mid-range
DEV001116,Android,11,Budget
DEV001117,Android,11,Mid-range
DEV001118,Android,12,Budget
DEV001119,Android,12,Budget
DEV001120,Android,11,Premium
DEV001121,iOS,16.5,Premium
DEV001122,Android,13,Budget
DEV001123,Android,12,Budget
DEV001124,Android,12,Mid-range
DEV001125,Android,11,Mid-range
DEV001126,Android,12,Mid-range
DEV001127,Android,11,Budget
DEV001128,Android,11,Mid-range
DEV001129,Android,13,Budget
DEV001130,Android,11,Budget
DEV001131,iOS,16.5,Budget
DEV001132,Android,13,Mid-range
DEV001133,Android,12,Budget
DEV001134,Android,14,Premium
DEV001135,iOS,17.2,Budget
DEV001136,Android,12,Premium
DEV001137,Android,11,Budget
DEV001138,iOS,17.2,Premium
DEV001139,Android,12,Mid-range
DEV001140,Android,12,Mid-range
DEV001141,Android,11,Budget
DEV001142,Android,14,Budget
DEV001143,Android,11,Mid-range
DEV001144,Android,13,Mid-range
DEV001145,Android,13,Mid-range
DEV001146,iOS,17.2,Mid-range
DEV001147,Android,13,Mid-range
DEV001148,Android,12,Mid-range
DEV001149,Android,14,Mid-range
DEV001150,Android,12,Mid-range
DEV001151,Android,13,Budget
DEV001152,Android,13,Mid-range
DEV001153,Android,14,Budget
DEV001154,iOS,17.2,Mid-range
DEV001155,Android,12,Mid-range
DEV001156,iOS,16.5,Mid-range
DEV001157,Android,12,Mid-range
DEV001158,Android,12,Premium
DEV001159,Android,12,Mid-range
DEV001160,Android,11,Mid-range
DEV001161,Android,13,Budget
DEV001162,Android,13,Budget
DEV001163,iOS,17.2,Mid-range
DEV001164,Android,12,Mid-range
DEV001165,iOS,17.2,Mid-range
DEV001166,Android,11,Budget
DEV001167,Android,12,Mid-range
DEV001168,Android,13,Mid-range
DEV001169,Android,12,Budget
DEV001170,Android,14,Mid-range
DEV001171,Android,12,Budget
DEV001172,Android,11,Budget
DEV001173,Android,12,Premium
DEV001174,Android,11,Premium
DEV001175,Android,11,Budget
DEV001176,Android,12,Budget
DEV001177,Android,12,Mid-range
DEV001178,Android,12,Mid-range
DEV001179,Android,12,Budget
DEV001180,Android,14,Budget
DEV001181,Android,14,Mid-range
DEV001182,Android,13,Budget
DEV001183,iOS,17.2,Budget
DEV001184,Android,11,Budget
DEV001185,Android,13,Premium
DEV001186,Android,11,Mid-range
DEV001187,Android,11,Mid-range
DEV001188,Android,12,Budget
DEV001189,Android,13,Budget
DEV001190,Android,13,Budget
DEV001191,Android,13,Budget
DEV001192,Android,14,Mid-range
DEV001193,Android,11,Budget
DEV001194,iOS,16.5,Budget
DEV001195,Android,12,Mid-range
DEV001196,Android,12,Premium
DEV001197,Android,12,Mid-range
DEV001198,Android,13,Mid-range
DEV001199,Android,13,Budget
DEV001200,Android,14,Mid-range
DEV001201,Android,14,Mid-range
DEV001202,Android,12,Mid-range
DEV001203,Android,11,Budget
DEV001204,Android,11,Budget
DEV001205,Android,11,Mid-range
DEV001206,Android,12,Mid-range
DEV001207,Android,11,Budget
DEV001208,Android,11,Mid-range
DEV001209,Android,13,Mid-range
DEV001210,iOS,17.2,Mid-range
DEV001211,Android,12,Budget
DEV001212,Android,12,Mid-range
DEV001213,Android,11,Budget
DEV001214,Android,11,Budget
DEV001215,Android,14,Premium
DEV001216,Android,12,Mid-range
DEV001217,Android,13,Mid-range
DEV001218,Android,14,Mid-range
DEV001219,Android,11,Budget
DEV001220,Android,14,Budget
DEV001221,Android,12,Mid-range
DEV001222,Android,11,Mid-range
DEV001223,Android,13,Mid-range
DEV001224,Android,12,Budget
DEV001225,Android,11,Mid-range
DEV001226,Android,14,Budget
DEV001227,Android,14,Budget
DEV001228,Android,13,Mid-range
DEV001229,iOS,17.2,Budget
DEV001230,Android,14,Mid-range
DEV001231,Android,12,Premium
DEV001232,Android,12,Budget
DEV001233,Android,14,Mid-range
DEV001234,iOS,17.2,Mid-range
DEV001235,Android,11,Mid-range
DEV001236,Android,13,Budget
DEV001237,Android,13,Mid-range
DEV001238,Android,11,Budget
DEV001239,Android,11,Budget
DEV001240,Android,11,Budget
DEV001241,Android,12,Mid-range
DEV001242,Android,12,Mid-range
DEV001243,Android,12,Budget
DEV001244,iOS,16.5,Premium
DEV001245,Android,13,Budget
DEV001246,iOS,17.2,Mid-range
DEV001247,iOS,16.5,Premium
DEV001248,iOS,16.5,Budget
DEV001249,iOS,16.5,Budget
DEV001250,Android,13,Mid-range
DEV001251,Android,14,Mid-range
DEV001252,Android,12,Mid-range
DEV001253,Android,12,Mid-range
DEV001254,Android,12,Mid-range
DEV001255,iOS,16.5,Budget
DEV001256,Android,12,Budget
DEV001257,iOS,16.5,Budget
DEV001258,iOS,17.2,Budget
DEV001259,Android,11,Mid-range
DEV001260,Android,13,Mid-range
DEV001261,Android,12,Mid-range
DEV001262,Android,12,Budget
DEV001263,Android,12,Budget
DEV001264,Android,12,Budget
DEV001265,Android,12,Mid-range
DEV001266,Android,12,Mid-range
DEV001267,Android,13,Mid-range
DEV001268,Android,12,Mid-range
DEV001269,Android,11,Budget
DEV001270,Android,14,Mid-range
DEV001271,Android,11,Premium
DEV001272,Android,12,Budget
DEV001273,iOS,17.2,Budget
DEV001274,Android,13,Budget
DEV001275,Android,13,Budget
DEV001276,iOS,16.5,Budget
DEV001277,Android,13,Budget
DEV001278,Android,12,Premium
DEV001279,Android,11,Budget
DEV001280,Android,12,Mid-range
DEV001281,Android,11,Mid-range
DEV001282,Android,13,Budget
DEV001283,Android,12,Budget
DEV001284,Android,11,Mid-range
DEV001285,Android,11,Mid-range
DEV001286,Android,14,Premium
DEV001287,Android,12,Budget
DEV001288,Android,11,Budget
DEV001289,Android,13,Budget
DEV001290,Android,12,Premium
DEV001291,Android,11,Mid-range
DEV001292,Android,14,Budget
DEV001293,iOS,17.2,Budget
DEV001294,Android,12,Budget
DEV001295,Android,13,Mid-range
DEV001296,Android,13,Mid-range
DEV001297,Android,11,Mid-range
DEV001298,Android,13,Premium
DEV001299,Android,11,Budget
DEV001300,Android,14,Mid-range
DEV001301,Android,12,Premium
DEV001302,Android,12,Budget
DEV001303,Android,12,Budget
DEV001304,Android,13,Mid-range
DEV001305,Android,13,Mid-range
DEV001306,Android,13,Mid-range
DEV001307,Android,13,Budget
DEV001308,Android,12,Mid-range
DEV001309,Android,13,Budget
DEV001310,Android,11,Premium
DEV001311,iOS,17.2,Mid-range
DEV001312,Android,11,Mid-range
DEV001313,Android,13,Mid-range
DEV001314,iOS,17.2,Premium
DEV001315,iOS,16.5,Budget
DEV001316,iOS,16.5,Mid-range
DEV001317,Android,12,Mid-range
DEV001318,Android,14,Premium
DEV001319,Android,14,Budget
DEV001320,Android,11,Budget
DEV001321,Android,11,Budget
DEV001322,Android,14,Mid-range
DEV001323,Android,13,Mid-range
DEV001324,Android,12,Mid-range
DEV001325,Android,11,Mid-range
DEV001326,Android,13,Budget
DEV001327,Android,12,Mid-range
DEV001328,Android,11,Mid-range
DEV001329,Android,12,Budget
DEV001330,Android,13,Mid-range
DEV001331,Android,13,Budget
DEV001332,Android,13,Mid-range
DEV001333,Android,14,Budget
DEV001334,Android,11,Mid-range
DEV001335,Android,12,Mid-range
DEV001336,Android,12,Mid-range
DEV001337,Android,13,Budget
DEV001338,Android,13,Mid-range
DEV001339,Android,11,Premium
DEV001340,Android,12,Mid-range
DEV001341,Android,13,Budget
DEV001342,Android,11,Mid-range
DEV001343,Android,12,Premium
DEV001344,Android,14,Budget
DEV001345,Android,14,Budget
DEV001346,Android,11,Mid-range
DEV001347,Android,13,Budget
DEV001348,Android,12,Budget
DEV001349,Android,12,Mid-range
DEV001350,Android,12,Budget
DEV001351,Android,11,Mid-range
DEV001352,Android,13,Budget
DEV001353,Android,12,Budget
DEV001354,iOS,16.5,Budget
DEV001355,Android,12,Budget
DEV001356,Android,11,Premium
DEV001357,iOS,16.5,Mid-range
DEV001358,iOS,16.5,Mid-range
DEV001359,Android,12,Budget
DEV001360,Android,12,Mid-range
DEV001361,Android,12,Budget
DEV001362,Android,12,Mid-range
DEV001363,iOS,16.5,Budget
DEV001364,Android,14,Premium
DEV001365,iOS,17.2,Budget
DEV001366,Android,12,Budget
DEV001367,Android,14,Budget
DEV001368,Android,13,Budget
DEV001369,Android,11,Mid-range
DEV001370,Android,12,Mid-range
DEV001371,Android,12,Mid-range
DEV001372,Android,12,Mid-range
DEV001373,Android,11,Premium
DEV001374,Android,14,Budget
DEV001375,Android,11,Mid-range
DEV001376,Android,11,Budget
DEV001377,Android,14,Premium
DEV001378,iOS,17.2,Budget
DEV001379,Android,13,Mid-range
DEV001380,Android,13,Budget
DEV001381,Android,12,Budget
DEV001382,Android,12,Budget
DEV001383,iOS,17.2,Mid-range
DEV001384,Android,11,Premium
DEV001385,iOS,16.5,Mid-range
DEV001386,Android,13,Budget
DEV001387,iOS,17.2,Budget
DEV001388,Android,11,Budget
DEV001389,Android,14,Budget
DEV001390,Android,13,Mid-range
DEV001391,iOS,17.2,Budget
DEV001392,Android,12,Budget
DEV001393,Android,14,Mid-range
DEV001394,Android,13,Budget
DEV001395,Android,12,Budget
DEV001396,Android,11,Mid-range
DEV001397,Android,13,Budget
DEV001398,Android,11,Mid-range
DEV001399,Android,12,Mid-range
DEV001400,iOS,17.2,Budget
DEV001401,Android,12,Budget
DEV001402,Android,11,Budget
DEV001403,Android,13,Mid-range
DEV001404,Android,13,Budget
DEV001405,Android,14,Budget
DEV001406,Android,11,Budget
DEV001407,Android,12,Mid-range
DEV001408,Android,13,Budget
DEV001409,iOS,17.2,Budget
DEV001410,Android,12,Mid-range
DEV001411,Android,13,Budget
DEV001412,Android,12,Mid-range
DEV001413,Android,11,Budget
DEV001414,Android,14,Premium
DEV001415,Android,11,Mid-range
DEV001416,Android,12,Mid-range
DEV001417,Android,13,Mid-range
DEV001418,Android,12,Mid-range
DEV001419,Android,11,Budget
DEV001420,iOS,16.5,Mid-range
DEV001421,Android,11,Premium
DEV001422,Android,14,Budget
DEV001423,Android,11,Mid-range
DEV001424,Android,11,Mid-range
DEV001425,Android,14,Budget
DEV001426,Android,11,Mid-range
DEV001427,Android,11,Budget
DEV001428,Android,11,Budget
DEV001429,iOS,16.5,Budget
DEV001430,Android,13,Budget
DEV001431,Android,12,Mid-range
DEV001432,Android,13,Budget
DEV001433,Android,12,Budget
DEV001434,Android,11,Premium
DEV001435,Android,12,Mid-range
DEV001436,Android,14,Mid-range
DEV001437,iOS,17.2,Mid-range
DEV001438,Android,12,Mid-range
DEV001439,Android,12,Premium
DEV001440,Android,12,Budget
DEV001441,Android,11,Budget
DEV001442,Android,11,Premium
DEV001443,Android,14,Budget
DEV001444,iOS,17.2,Mid-range
DEV001445,Android,14,Premium
DEV001446,iOS,17.2,Budget
DEV001447,Android,13,Budget
DEV001448,Android,14,Premium
DEV001449,Android,11,Premium
DEV001450,Android,11,Mid-range
DEV001451,Android,14,Budget
DEV001452,Android,14,Mid-range
DEV001453,Android,11,Mid-range
DEV001454,Android,14,Mid-range
DEV001455,iOS,16.5,Budget
DEV001456,Android,13,Premium
DEV001457,Android,13,Mid-range
DEV001458,Android,11,Premium
DEV001459,iOS,16.5,Mid-range
DEV001460,Android,12,Mid-range
DEV001461,Android,11,Budget
DEV001462,Android,11,Mid-range
DEV001463,Android,11,Premium
DEV001464,Android,11,Budget
DEV001465,Android,13,Premium
DEV001466,Android,14,Budget
DEV001467,Android,11,Mid-range
DEV001468,iOS,16.5,Mid-range
DEV001469,Android,14,Premium
DEV001470,iOS,17.2,Budget
DEV001471,iOS,16.5,Budget
DEV001472,Android,11,Budget
DEV001473,Android,11,Budget
DEV001474,iOS,16.5,Mid-range
DEV001475,iOS,17.2,Mid-range
DEV001476,Android,11,Premium
DEV001477,Android,13,Premium
DEV001478,Android,14,Budget
DEV001479,Android,13,Budget
DEV001480,Android,12,Mid-range
DEV001481,Android,11,Mid-range
DEV001482,iOS,16.5,Premium
DEV001483,Android,12,Premium
DEV001484,iOS,17.2,Budget
DEV001485,Android,13,Premium
DEV001486,iOS,17.2,Budget
DEV001487,Android,13,Premium
DEV001488,Android,11,Mid-range
DEV001489,Android,11,Premium
DEV001490,Android,11,Premium
DEV001491,Android,11,Mid-range
DEV001492,Android,13,Premium
DEV001493,Android,12,Budget
DEV001494,Android,11,Budget
DEV001495,Android,12,Budget
DEV001496,Android,11,Budget
DEV001497,Android,13,Premium
DEV001498,iOS,16.5,Mid-range
DEV001499,Android,12,Mid-range
DEV001500,Android,11,Mid-range
DEV001501,iOS,16.5,Mid-range
DEV001502,Android,13,Budget
DEV001503,Android,11,Mid-range
DEV001504,Android,12,Budget
DEV001505,iOS,17.2,Budget
DEV001506,Android,11,Budget
DEV001507,Android,13,Mid-range
DEV001508,iOS,16.5,Budget
DEV001509,Android,13,Mid-range
DEV001510,Android,12,Budget
DEV001511,iOS,16.5,Budget
DEV001512,iOS,16.5,Budget
DEV001513,Android,11,Budget
DEV001514,Android,11,Mid-range
DEV001515,Android,13,Mid-range
DEV001516,Android,12,Budget
DEV001517,Android,11,Budget
DEV001518,Android,13,Mid-range
DEV001519,Android,11,Budget
DEV001520,Android,12,Budget
DEV001521,Android,13,Mid-range
DEV001522,Android,11,Budget
DEV001523,Android,11,Budget
DEV001524,Android,11,Mid-range
DEV001525,Android,12,Budget
DEV001526,Android,12,Mid-range
DEV001527,Android,11,Mid-range
DEV001528,Android,11,Premium
DEV001529,Android,12,Mid-range
DEV001530,Android,12,Mid-range
DEV001531,Android,11,Budget
DEV001532,Android,11,Mid-range
DEV001533,Android,13,Budget
DEV001534,Android,12,Mid-range
DEV001535,iOS,17.2,Mid-range
DEV001536,Android,13,Mid-range
DEV001537,Android,14,Mid-range
DEV001538,Android,12,Premium
DEV001539,Android,12,Premium
DEV001540,Android,12,Budget
DEV001541,iOS,16.5,Mid-range
DEV001542,Android,12,Premium
DEV001543,Android,14,Mid-range
DEV001544,Android,13,Budget
DEV001545,Android,14,Budget
DEV001546,iOS,17.2,Premium
DEV001547,Android,14,Budget
DEV001548,Android,12,Premium
DEV001549,Android,12,Premium
DEV001550,Android,13,Mid-range
DEV001551,Android,12,Premium
DEV001552,iOS,16.5,Budget
DEV001553,Android,12,Budget
DEV001554,Android,12,Budget
DEV001555,Android,12,Premium
DEV001556,Android,14,Mid-range
DEV001557,Android,12,Mid-range
DEV001558,Android,12,Budget
DEV001559,Android,13,Mid-range
DEV001560,iOS,16.5,Premium
DEV001561,Android,13,Budget
DEV001562,Android,12,Mid-range
DEV001563,Android,12,Mid-range
DEV001564,Android,12,Mid-range
DEV001565,Android,13,Budget
DEV001566,Android,12,Budget
DEV001567,Android,13,Mid-range
DEV001568,Android,11,Premium
DEV001569,Android,12,Budget
DEV001570,Android,13,Premium
DEV001571,iOS,16.5,Budget
DEV001572,Android,14,Budget
DEV001573,Android,12,Mid-range
DEV001574,Android,13,Budget
DEV001575,iOS,16.5,Budget
DEV001576,iOS,17.2,Mid-range
DEV001577,Android,14,Budget
DEV001578,Android,12,Mid-range
DEV001579,Android,11,Budget
DEV001580,Android,14,Mid-range
DEV001581,Android,14,Premium
DEV001582,Android,14,Mid-range
DEV001583,Android,11,Budget
DEV001584,Android,12,Budget
DEV001585,iOS,16.5,Premium
DEV001586,Android,11,Budget
DEV001587,Android,14,Mid-range
DEV001588,Android,11,Mid-range
DEV001589,iOS,16.5,Mid-range
DEV001590,Android,12,Mid-range
DEV001591,Android,12,Mid-range
DEV001592,Android,11,Budget
DEV001593,Android,12,Mid-range
DEV001594,Android,11,Premium
DEV001595,Android,13,Budget
DEV001596,Android,11,Premium
DEV001597,Android,13,Mid-range
DEV001598,Android,12,Budget
DEV001599,Android,11,Mid-range
DEV001600,iOS,17.2,Premium
DEV001601,Android,13,Mid-range
DEV001602,Android,12,Mid-range
DEV001603,Android,11,Mid-range
DEV001604,Android,14,Budget
DEV001605,iOS,16.5,Mid-range
DEV001606,Android,13,Budget
DEV001607,Android,12,Mid-range
DEV001608,Android,12,Premium
DEV001609,Android,13,Mid-range
DEV001610,Android,12,Budget
DEV001611,Android,12,Mid-range
DEV001612,Android,13,Mid-range
DEV001613,Android,12,Budget
DEV001614,Android,12,Mid-range
DEV001615,Android,14,Budget
DEV001616,Android,13,Mid-range
DEV001617,Android,12,Budget
DEV001618,Android,11,Premium
DEV001619,Android,13,Premium
DEV001620,Android,12,Mid-range
DEV001621,iOS,16.5,Budget
DEV001622,Android,11,Mid-range
DEV001623,iOS,16.5,Mid-range
DEV001624,Android,14,Mid-range
DEV001625,Android,13,Mid-range
DEV001626,Android,13,Mid-range
DEV001627,iOS,17.2,Budget
DEV001628,Android,12,Budget
DEV001629,Android,11,Mid-range
DEV001630,Android,13,Budget
DEV001631,Android,13,Budget
DEV001632,Android,12,Mid-range
DEV001633,iOS,16.5,Mid-range
DEV001634,Android,12,Mid-range
DEV001635,Android,14,Premium
DEV001636,Android,11,Budget
DEV001637,Android,11,Budget
DEV001638,Android,14,Mid-range
DEV001639,Android,11,Mid-range
DEV001640,Android,12,Budget
DEV001641,Android,12,Mid-range
DEV001642,Android,12,Mid-range
DEV001643,Android,12,Budget
DEV001644,Android,12,Premium
DEV001645,Android,12,Premium
DEV001646,Android,13,Premium
DEV001647,Android,11,Premium
DEV001648,Android,12,Premium
DEV001649,Android,12,Budget
DEV001650,Android,11,Premium
DEV001651,Android,11,Budget
DEV001652,Android,12,Mid-range
DEV001653,iOS,16.5,Mid-range
DEV001654,Android,12,Mid-range
DEV001655,Android,14,Mid-range
DEV001656,Android,13,Budget
DEV001657,Android,13,Budget
DEV001658,Android,12,Mid-range
DEV001659,Android,11,Mid-range
DEV001660,Android,12,Mid-range
DEV001661,Android,11,Mid-range
DEV001662,Android,13,Mid-range
DEV001663,iOS,17.2,Budget
DEV001664,Android,11,Budget
DEV001665,Android,12,Budget
DEV001666,Android,12,Mid-range
DEV001667,Android,11,Mid-range
DEV001668,Android,13,Budget
DEV001669,Android,13,Budget
DEV001670,Android,11,Budget
DEV001671,Android,13,Budget
DEV001672,Android,14,Budget
DEV001673,Android,12,Mid-range
DEV001674,Android,13,Budget
DEV001675,iOS,16.5,Premium
DEV001676,Android,12,Premium
DEV001677,Android,12,Budget
DEV001678,iOS,16.5,Premium
DEV001679,Android,12,Budget
DEV001680,Android,13,Budget
DEV001681,Android,13,Mid-range
DEV001682,Android,11,Budget
DEV001683,Android,13,Budget
DEV001684,iOS,16.5,Budget
DEV001685,Android,12,Budget
DEV001686,iOS,17.2,Mid-range
DEV001687,Android,13,Budget
DEV001688,Android,13,Mid-range
DEV001689,Android,12,Mid-range
DEV001690,Android,12,Budget
DEV001691,Android,13,Mid-range
DEV001692,Android,12,Mid-range
DEV001693,Android,13,Budget
DEV001694,Android,13,Budget
DEV001695,Android,14,Budget
DEV001696,Android,13,Budget
DEV001697,Android,11,Budget
DEV001698,Android,11,Budget
DEV001699,Android,12,Mid-range
DEV001700,Android,11,Mid-range
DEV001701,Android,12,Budget
DEV001702,Android,12,Budget
DEV001703,iOS,16.5,Budget
DEV001704,Android,11,Mid-range
DEV001705,iOS,16.5,Mid-range
DEV001706,Android,13,Budget
DEV001707,Android,11,Mid-range
DEV001708,Android,13,Budget
DEV001709,Android,12,Budget
DEV001710,iOS,17.2,Budget
DEV001711,Android,12,Budget
